"Replicate","File_Name","ACI_avg","BI_avg","NDSI_avg","Anthrophony_avg","Biophony_avg"
"Rep1","01Label.wav",9439.82940980766,7.83578800293614,-0.267341425686612,0.940953942030022,0.544280289563532
"Rep1","03Label.wav",9363.84996771257,8.61383955641372,-0.157971469314296,0.90688884310385,0.669287939635315
"Rep1","05Label.wav",9370.60979600677,9.02882638546958,0.0614547540221506,0.790250008306052,0.901441151036656
"Rep1","07Label.wav",9345.6231633236,3.60565713095775,0.108200566994987,0.832073060837452,1.06406216595014
"Rep1","10Label.wav",9309.85672709736,7.87184080070153,-0.343404758499459,0.949106657908989,0.464118315035122
"Rep1","12Label.wav",9374.46652339857,6.08989532448549,-0.412985839008138,0.969171032420937,0.402606430977059
"Rep1","15Label.wav",9385.21633342176,6.94686313159037,-0.088299488597419,0.923157352376567,0.776343545309722
"Rep1","18Label.wav",9282.15867316499,8.00644598756787,-0.21883091875386,0.945817807109721,0.606336734967979
"Rep1","21Label.wav",9303.79279980875,7.28085311127442,0.789305715890869,0.156093563874557,1.31898229348758
"Rep1","24Label.wav",9321.13085076464,5.37434338194216,-0.18251906173202,0.928048612765225,0.641872004994801
"Rep2","01Label.wav",9323.62883123132,6.49807462167245,0.184435265337039,0.806927439296249,1.19981450165198
"Rep2","03Label.wav",9307.89465155434,6.3610632512398,0.00625464656835986,0.88942925204416,0.900886007896681
"Rep2","05Label.wav",9394.4304180556,7.17537107226534,0.425037849764323,0.640130323029823,1.58394674108861
"Rep2","07Label.wav",9358.7387478379,7.944172921529,0.473068555985434,0.500523521464391,1.39684424951631
"Rep2","10Label.wav",9372.19911479563,5.95476550455908,0.128259611644574,0.835051710569543,1.08094873416889
"Rep2","12Label.wav",9240.12577039955,5.40573431820383,-0.0285169259934777,0.898226537190045,0.848730094995698
"Rep2","15Label.wav",9333.90753283683,5.18705448818024,0.203345975977307,0.6211746350394,0.92588741249797
"Rep2","18Label.wav",9427.75438840201,5.58567346185685,0.113887029412591,0.857267820440751,1.09968591035398
"Rep2","21Label.wav",9347.32204560116,6.16094176197474,0.170637155475616,0.819418965774618,1.17159821505652
"Rep2","24Label.wav",9386.70890315032,4.04619506575618,0.269223652054972,0.777266773328442,1.36325507884726
"Rep3","01Label.wav",9260.65473969785,3.98059490199489,-0.385467741887833,0.971316176427137,0.430932022344015
"Rep3","03Label.wav",9327.12257283001,7.95373298688346,-0.243493908501754,0.90746630524884,0.59292465865602
"Rep3","05Label.wav",9373.42214698635,7.62808677565383,-0.2962312241169,0.904814100509163,0.616615255951679
"Rep3","07Label.wav",9432.53150374469,3.73883493178301,-0.0700005178396262,0.879783908531421,0.76897862379609
"Rep3","10Label.wav",9440.14923189641,5.2682009027959,-0.18272316409258,0.943993719926124,0.664902997237489
"Rep3","12Label.wav",9383.54416736562,6.68974071650612,-0.334994856197743,0.970177695429228,0.508119240084808
"Rep3","15Label.wav",9478.98777463205,4.91857384424179,0.249369549226174,0.717765475583876,1.20068708397977
"Rep3","18Label.wav",9202.6929285378,8.11276023781134,-0.613244407340334,0.989511639456129,0.251852942406025
"Rep3","21Label.wav",9349.74782175505,4.46349751385069,-0.184533750721212,0.943933680409301,0.665873731730163
"Rep3","23Label.wav",9311.6180091776,3.99398975026276,-0.320725124768343,0.965570398909966,0.520292277063567
